CTMC_random_4_states
[1.0, 0.0, 0.0, 0.0]
0.5942391027514317 0.8241144955676171 0.6216473280705188 0.6128157793178491 0.1901146988140363 0.13163417342022765 0.2463445774382631 0.8224005073358099 0.12206562027190837 
1 1 1 2 2 2 3 3 3 
r g b r g b r g b 
0.694071481640657 0.028373436922987327 0.5954954465657859 0.3501311775629218 0.9013941374427911 0.5703682225312545 0.9781922183385064 0.7339156701969963 0.3342783555807528 
0 0 0 2 2 2 3 3 3 
r g b r g b r g b 
0.6040656946715287 0.9930702071177441 0.9006377999082009 0.7554712250896457 0.05275128629579995 0.8278369161079717 0.9561634522557542 0.17488258655864475 0.49089792899382645 
0 0 0 1 1 1 3 3 3 
r g b r g b r g b 
0.4720327764310551 0.43449084097930213 0.5491722904223449 0.27844657246153615 0.39832016840078965 0.46703510188932207 0.08116250691616256 0.18375953828075742 0.31020666043576306 
0 0 0 1 1 1 2 2 2 
r g b r g b r g b 
