#### Simulations (1)
# dicevalue #1
0.0 0.0
22.55522657735113 4.0
22.55522657735113 4.0
45.0779321931329 2.0
69.64712411790266 2.0
69.64712411790266 2.0
93.22396519989071 6.0
93.22396519989071 1.0
116.8955931955025 6.0
116.8955931955025 6.0
140.5031670183787 5.0
140.5031670183787 5.0
164.7016656230313 2.0
187.3730116432601 6.0
187.3730116432601 6.0
217.8782925128103 6.0
217.8782925128103 6.0
242.2087390201084 2.0
242.2087390201084 2.0
266.6609159998691 2.0
266.6609159998691 2.0
290.6727140088833 1.0
290.6727140088833 1.0
312.6904934410832 6.0
312.6904934410832 1.0
341.1625918977761 1.0
341.1625918977761 1.0
363.5194057578756 4.0
363.5194057578756 1.0
387.3829181307232 6.0
387.3829181307232 5.0
409.7278253372035 6.0
409.7278253372035 6.0
434.0693875295933 2.0
434.0693875295933 2.0
457.5546305667361 6.0
457.5546305667361 2.0
481.4712484650468 4.0
481.4712484650468 4.0
501.802986390411 3.0
526.1172574046683 2.0
548.7090770149055 6.0
571.9928419312157 1.0
571.9928419312157 4.0
596.0750373368618 5.0
596.0750373368618 5.0
619.5270467771497 2.0
619.5270467771497 2.0
640.8103716208623 6.0
664.9998871698066 2.0
689.93101939388 2.0
689.93101939388 2.0
714.0912283132178 3.0
714.0912283132178 3.0
737.3456317684562 5.0
737.3456317684562 4.0
761.5352201080602 2.0
761.5352201080602 2.0
784.7505032878787 6.0
784.7505032878787 1.0
808.0179700162251 4.0
831.9020200185053 1.0
853.9760870863533 2.0
853.9760870863533 2.0
878.153196885992 4.0
901.5123656179162 3.0
901.5123656179162 3.0
924.9998809161812 1.0
924.9998809161812 1.0
949.1473398540118 6.0
949.1473398540118 6.0
974.0536757035691 6.0
974.0536757035691 6.0
999.2983206107392 6.0
999.2983206107392 6.0
1021.050864582709 1.0
1021.368772721092 6.0
1045.713939366457 4.0
1069.589855273957 2.0
1069.589855273957 6.0
1092.844081262605 2.0
1092.844081262605 3.0
1117.900650169559 3.0
1117.900650169559 3.0
1141.575969182516 5.0
1141.575969182516 5.0
1165.662013441289 1.0
1165.767298366046 3.0
1189.88323520238 1.0
1189.88323520238 1.0
1213.888356284776 4.0
1236.016084095036 6.0
1236.016084095036 6.0
1260.828357565242 6.0
1260.828357565242 6.0
1282.986043346665 3.0
1282.991121524903 6.0
1307.339100215491 1.0
1307.339100215491 1.0
1331.386329772962 6.0
1331.456910045124 5.0
1353.741726216548 4.0
1353.741726216548 4.0
1377.700079113042 3.0
1377.700079113042 3.0
1401.618695454737 6.0
1401.618695454737 5.0
1425.818824502314 3.0
1425.818824502314 3.0
1446.974306898035 5.0
1446.974306898035 5.0
1470.411104939112 3.0
1470.411104939112 3.0
1494.288318480973 5.0
1494.288318480973 5.0
1517.148149338556 2.0
1517.148149338556 2.0
1540.381381383698 6.0
1540.381381383698 3.0
1564.67601612228 5.0
1564.67601612228 5.0
1588.575931852459 1.0
1611.685623488079 4.0
1634.619576106529 6.0
1634.619576106529 3.0
1658.37654193513 6.0
1682.722888737989 1.0
1682.722888737989 2.0
1705.059074629772 6.0
1705.059074629772 6.0
1734.743139149436 6.0
1734.743139149436 6.0
1757.435596300898 2.0
1757.435596300898 3.0
1781.67832548152 6.0
1805.172420982975 5.0
1829.007735525606 3.0
1829.007735525606 6.0
1853.222384228015 5.0
1853.222384228015 6.0
1877.178646834401 3.0
1877.178646834401 3.0
1900.785937265265 1.0
1921.941931368511 6.0
1945.249059080591 5.0
1945.249059080591 6.0
1967.981500884538 2.0
1967.981500884538 4.0
1988.26015494112 6.0
1988.26015494112 6.0
2021.738244724292 6.0
2021.738244724292 6.0
2049.742468681194 6.0
2049.742468681194 6.0
2072.051098856176 2.0
2072.06344194851 6.0
2095.982749131183 5.0
2095.982749131183 5.0
2118.825306822067 2.0
2118.825306822067 2.0
2146.954747804176 2.0
2146.954747804176 2.0
2170.989187839526 5.0
2170.989187839526 1.0
2194.502549096775 3.0
2194.502549096775 3.0
2218.645401721385 1.0
2218.645401721385 1.0
2242.796897732649 6.0
2242.796897732649 4.0
2267.058559613134 3.0
2267.058559613134 3.0
2290.535779384903 6.0
2290.535779384903 1.0
2312.64032413963 6.0
2312.64032413963 1.0
2336.898870961764 5.0
2336.898870961764 2.0
2360.858297404622 6.0
2360.858297404622 6.0
2384.413393713729 3.0
2408.168687930809 2.0
2408.168687930809 2.0
2432.017285602356 4.0
2456.111685586606 6.0
2456.111685586606 6.0
2477.672838640842 5.0
2477.672838640842 5.0
2500.367418638117 4.0
2500.367418638117 6.0
2525.645771203291 6.0
2525.645771203291 6.0
2549.660527078149 5.0
2549.660527078149 5.0
2571.849664053822 6.0
2571.849664053822 6.0
2594.248597681982 1.0
2594.248597681982 1.0
2615.733979911299 6.0
2615.733979911299 5.0
2639.825843593089 3.0
2639.825843593089 4.0
2663.946612373793 1.0
2663.946612373793 3.0
2688.174616085172 5.0
2712.290572597244 3.0
2736.391013838692 6.0
2736.391013838692 6.0
