unknown CTMC
[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
0.0 0.0 0.0 8.436440899145149e-96 3.421563834367034e-16 0.07313059248928491 2.6017212507162177e-122 0.05878862179258129 0.01255341250074861 7.065251231693763e-202 0.10665659780604758 2.2641243727093983e-53 2.5491959269956365e-36 0.06768234225720675 2.495618584676608e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.06455165600960727 1.107339763326859e-10 3.223034648896508e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03319909765510513 0.02372032685182098 0.012970714587689629 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
6.695141002968639e-75 1.6293409839497915e-09 0.29972947362594166 0.0 0.0 0.0 4.365041994026984e-59 0.24567536843809615 0.031954615320781636 6.619226072836186e-104 0.00041691828548951523 0.03656198910931968 0.0 0.0 0.0 0.04331617590322961 0.0001311950722239488 1.9605443997663082e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.8214180520931394e-14 3.2522953210130083e-12 5.305199949060781e-70 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05568024038396019 1.8972171606798676e-18 2.739011269981065e-54 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
1.6547243030336305e-12 0.0012876287246928516 0.0044348907677497105 0.041843141090123465 1.6101762385907583e-08 0.012168328664843582 0.0 0.0 0.0 1.53571432306206e-28 0.240709355070976 0.01704790147286546 0.0 0.0 0.0 0.0 0.0 0.0 1.4417390655794092e-05 2.660340351550818e-11 1.961608924283743e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.10035200897665443 0.011007794614690545 1.1612972169203826e-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0006360194250717273 0.041244423856165495 0.03950675694642536 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.014327316625482386 4.968753137563197e-05 8.839072760484308e-22 2.859270588599862e-06 9.925059793218297e-16 0.13311844723044028 0.07427469246229972 0.10333312936404451 4.0055276366254706e-26 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01332261836759125 1.1537362981405686e-12 8.866078742782719e-22 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.09076056223210377 0.029398333781563812 4.766231947461948e-10 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.04269850610878287 0.001916115726003224 4.874797551988257e-23 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
1.1511535940160826e-11 0.0050450762611292405 7.370634211852008e-21 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.15865790145323e-07 0.00555737221969766 0.08587814385806138 0.07242635151639358 0.15096400329960272 8.574997060521404e-07 1.417278787348e-06 0.025759838141293134 7.334793852909992e-24 1.1297810358378984e-07 8.059059645690533e-07 3.7357068370925152e-22 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.445657470374063e-08 0.12981351417897016 4.129672941180666e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 1.1905820111084556e-30 1.3882738206104711e-18 5.296854407340058e-19 0.0 0.0 0.0 0.0 0.0 0.0 2.155445828036231e-50 6.711840047245533e-30 0.3272139374704605 0.0 0.0 0.0 5.932808213767298e-49 4.095134483105638e-12 0.001873872270243495 4.812297752863717e-25 0.03213470834107179 1.0213806359764309e-12 0.0 0.0 0.0 0.03106688274054093 1.4325032676019027e-16 2.6637019073345664e-19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.7507378421170572e-10 0.17375709397294017 1.903104179829478e-05 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
