unknown CTMC
[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
0.0 0.0 0.0 2.3982586047814493e-84 0.0005759907573189746 2.858480837052093e-20 3.401576622897922e-65 9.11537068165701e-16 0.0821654632420561 2.0232856907407176e-84 0.14206606337325456 5.5766798603109355e-28 0.008244183782186467 0.034184986759858066 0.020756377024065305 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.08661706771760802 1.5664011399022983e-11 1.32749043735978e-12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.913362914471917e-44 0.09925061317638348 1.0698727039453044e-26 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
5.0581270208321925e-08 0.045543383078550805 0.0006101561224923658 0.0 0.0 0.0 0.031023459509155624 7.76910756216296e-05 6.682702905440594e-05 2.4045211211460715e-13 5.849089524763738e-05 2.0708368246810878e-07 0.0 0.0 0.0 9.851578820954819e-17 1.8079845312375254e-05 1.4457727412935646e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01215197312500757 0.10707918023210897 9.19488657939936e-09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.13047088475440694 0.18301391232589057 4.675714461635751e-08 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
4.240064168562071e-48 2.838460023199696e-12 0.003985358254469788 4.748323800197656e-70 0.12099482270407193 2.3079566576505296e-14 0.0 0.0 0.0 1.1610521191825119e-72 2.7919310061971574e-06 0.3678006477958526 0.0 0.0 0.0 0.0 0.0 0.0 0.024916408848304854 3.607450620130667e-18 2.062020930181281e-40 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.09933203237380424 0.025780532848363763 9.436214258161207e-12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8235248914640503e-25 0.09659329081478325 3.33492614546086e-26 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.020048537430872277 0.00012725582462001786 1.0390030880440075e-07 0.06320805832305655 0.024538916927432042 5.893393008053856e-23 5.057774672997054e-14 0.003987358461312637 0.08912859185565514 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.075126569080632e-05 0.0008607324156803845 2.9420482097270103e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.08556728064724277 5.867446421718114e-10 0.00036700191537553903 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.959178536045762e-24 0.17787931386229822 2.0274687555996602e-22 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
1.97984345065881e-15 0.0006829372261746824 1.8035187803787033e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.15181350306497e-45 0.4686371871506848 2.210275636363317e-09 3.3191419317153624e-15 2.9068551725577283e-13 7.270508749901292e-14 1.0892573324639396e-26 0.012556882389562995 5.611228567084881e-07 1.6519806844699155e-05 1.0799764582042703e-09 9.595355038671662e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.085321973541734e-13 0.001005494220397679 7.86514743241291e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 0.0813966766706835 0.0002505133191181254 2.5193696946265e-10 0.0 0.0 0.0 0.0 0.0 0.0 1.585367246757956e-05 0.020052967770630075 0.0001728371217546134 0.0 0.0 0.0 0.04013920111908434 0.052990772784224066 0.13479506032640065 4.570317684321569e-06 6.607299770252284e-07 5.83065583998517e-11 0.0 0.0 0.0 0.09070586350319151 9.327190772071114e-08 1.2561427376320887e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.054562648906925554 0.01561296601132256 0.0011218194545399665 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
