unknown CTMC
[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
0.0 0.0 0.0 5.184844295128831e-172 0.23057718196103189 7.444668314472467e-19 0.0 0.000723164195755113 2.2136373666617834e-16 3.6575199263714424e-23 0.00539721702513584 0.04939153856614313 7.583533212427671e-126 2.5405105771049537e-14 0.059023087123331895 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.049617133870437154 0.04056540768807508 3.019739485734928e-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03907922544229704 2.293554420008682e-06 2.2698870431796856e-59 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
5.4635826594833894e-08 0.0541709486002406 1.841888259807265e-23 0.0 0.0 0.0 2.1939521681558447e-76 0.07504469987366141 2.8473237272057983e-81 0.04442926917450594 0.07033830914996893 0.0077651195534601475 0.0 0.0 0.0 0.0018612156488581324 7.144354906669202e-47 0.05049848636981774 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.08970746480906375 1.697799909164615e-08 1.390887277950993e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.052555810131498036 0.052119742637359856 3.1512494890921604e-14 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
2.0834601450181821e-10 9.679829848370102e-07 2.4525374087360935e-13 3.3116886690740716e-09 0.027513251962330232 1.0368970240307456e-33 0.0 0.0 0.0 8.984383278957628e-16 0.11185245218415825 0.005390233726040085 0.0 0.0 0.0 0.0 0.0 0.0 0.058217304343809284 2.0488865951019287e-08 6.182391433289038e-29 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.12171981258927031 2.0240749123364107e-09 0.023459061251078838 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.16442158462574286 4.2141097518691296e-11 4.0098229484930453e-69 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
4.2923528410201896e-32 4.1171633533417695e-13 0.1652792178080564 1.2932624425704825e-65 0.16659145968541614 0.07953112947612759 5.35550958812903e-128 0.16082580127282173 7.299582966821259e-28 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5302992059934657e-14 3.4442083256738946e-16 3.6114057308093906e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0010620562481727987 7.916361829054188e-18 1.2331602873038503e-19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0019795278174208e-31 7.763842400733702e-25 7.838514081698454e-16 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
7.679646404414213e-57 0.0009911668125414136 0.00011847393181906667 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.1606148853779496e-36 0.02728003680461895 2.4971577548551e-69 3.5098545068324056e-86 4.494897484802151e-16 0.04987727570543684 0.1701624745385279 0.10603013248534351 2.4715995064820474e-52 2.6793785379839224e-07 0.011785491586954458 0.061562273495479616 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.02397470483986785 0.102706488957301 0.12671185444894764 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 2.5799900890237008e-108 1.816521265379062e-05 0.38134167296268556 0.0 0.0 0.0 0.0 0.0 0.0 0.015593635014188433 0.07830973680340525 2.9140453657538785e-16 0.0 0.0 0.0 2.0113240660582434e-80 5.0672496143753065e-12 4.655321703544064e-16 0.08910314761235817 0.059757540547145105 5.143125467267849e-35 0.0 0.0 0.0 4.525572953819516e-50 1.031397283752633e-16 0.01689027990485127 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.015611035879641e-48 1.0175663360636358e-10 2.674030067775309e-16 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
