unknown CTMC
[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
0.0 0.0 0.0 1.480813076878283e-51 0.11369008146173884 3.5724538251310935e-14 0.09378978864750183 9.77583878615011e-09 0.001691039641905463 1.4567523584737424e-47 0.03329047249024195 1.7330258117171154e-09 3.193672380616723e-35 3.190513981207962e-08 0.08588646724795683 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.6969649736877202e-183 0.00381581970788007 4.229585213927186e-34 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.111842637659882e-51 0.11795759069159988 0.006933462766593291 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
5.4660085298242704e-12 0.15114922764531438 2.3244750997703985e-18 0.0 0.0 0.0 2.454508843825815e-09 0.04523312294186597 0.05081258098372071 3.185529452377265e-11 1.169224494666683e-10 5.577799945195242e-12 0.0 0.0 0.0 0.018376970050939963 6.216847868547611e-11 0.010907853320420866 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.10282627924134728 0.11505290594511862 2.5571230706652477e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.009390013161419485 0.012089147039309885 0.0007026549347886173 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
1.4967712005497584e-125 0.016481617048446275 2.6972673615575256e-06 3.425702160002092e-139 0.00047443501367154284 8.858137756000889e-21 0.0 0.0 0.0 1.3641691763784586e-124 0.2849253491432671 8.705728905312269e-27 0.0 0.0 0.0 0.0 0.0 0.0 8.461322505067757e-115 7.306991081903928e-10 0.08890805875789809 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.502394280756177e-134 2.4853103865627962e-05 1.103098168963043e-19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.82236748890035e-111 9.944148439425752e-07 0.0372009465660563 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
4.963017212740545e-11 0.003172272767907205 2.4336125824173414e-08 0.06365091992962463 0.07996758175422916 0.01647751209068119 0.03993430529482942 0.04893797434401825 0.05785385688819861 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.4705921513733447e-45 1.6271332196000212e-08 0.00011566320711283668 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.001528754832203175 0.03734845746435758 1.2540502205824094e-14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.742496358924778e-05 0.058088693086471646 0.07681145820606457 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
1.7093890633202058e-49 0.0010959807054148761 0.08088406432092807 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03884059803634276 0.02512569040974795 1.6131698764144741e-62 0.0477014478592722 0.06029690965505158 9.799985302290153e-15 7.831022070385778e-35 9.973162263984819e-25 1.1796529796513e-13 6.865295847912421e-111 0.07599447671645201 0.001229727126715241 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.350781352771271e-58 0.09842996924337152 0.26563685361664396 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 7.589261185943675e-26 4.2459256495986117e-20 1.0964563268014012e-05 0.0 0.0 0.0 0.0 0.0 0.0 3.087253671255652e-09 0.006238838794179711 1.5426356234599044e-07 0.0 0.0 0.0 1.3414034299524153e-17 3.953205173642122e-13 0.01806967872199955 7.108794314034885e-27 7.374581684086789e-14 0.012211764870282462 0.0 0.0 0.0 7.232971223907372e-44 2.08741346293908e-10 3.3504444861944025e-10 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.3012844461065163e-07 2.668526480161928e-24 0.5234238072439311 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
