CTMC_random_4_states
[1.0, 0.0, 0.0, 0.0]
0.014521550324164245 0.41195948332790266 0.0015253870537750291 0.2035203788647021 0.011810963772358352 0.01699629166671368 0.0070468122585792825 0.03231875145177343 0.3003003812800312 
1 1 1 2 2 2 3 3 3 
r g b r g b r g b 
0.007935536510596775 0.025162941764402723 0.012472764020873606 0.014759610302485071 0.008091626419553655 0.05798847370197176 0.02237118025276934 0.012788760018104606 0.03842910700924247 
0 0 0 2 2 2 3 3 3 
r g b r g b r g b 
0.0860236815419998 0.059804553639901004 0.12151898162709407 0.07204360660927772 0.08615605477023613 0.0007471787062610091 0.03315977758252575 0.002881962931183313 0.0376642025915212 
0 0 0 1 1 1 3 3 3 
r g b r g b r g b 
0.0137212530199885 0.06662619586015632 0.0756207821854908 0.000525007014462194 0.031013214317074822 0.008968772317849538 0.12813021322704485 0.0017764653867325582 0.006951430004533761 
0 0 0 1 1 1 2 2 2 
r g b r g b r g b 
