unknown CTMC
[1.0, 0.0, 0.0, 0.0]
0.0766843347173867 3.241922111804598e-14 1.0469906363763812e-35 1.163066538812011e-40 0.13836428979956925 8.396722686412945e-31 1.91120749710343e-05 5.638628847471594e-25 1.10312895032264e-22 
1 1 1 2 2 2 3 3 3 
b g r b g r b g r 
7.583483230337546e-144 0.038654937091878915 0.00031284405674487096 6.00901696713505e-143 0.0009029065613067493 6.810201779164057e-07 4.357870790834553e-83 0.061643103447058915 0.030988307607297923 
0 0 0 2 2 2 3 3 3 
b g r b g r b g r 
3.591282458875492e-25 0.16270076710295847 1.6057358765629255e-37 0.05507541716173976 0.0009119551446216744 1.2794488993378064e-13 5.5877975124093153e-05 1.0597236872656289e-10 1.4000481689560341e-27 
0 0 0 1 1 1 3 3 3 
b g r b g r b g r 
5.116945756959284e-29 0.0015162575459020254 2.4676822021752678e-06 3.5385931535025325e-30 2.4678020081577477e-12 0.01837381291409155 4.724618253394616e-24 0.050112341970240275 0.10469655367737456 
0 0 0 1 1 1 2 2 2 
b g r b g r b g r 
