#### Simulations (10)
# numof(Client) #1
0.0 0.0
0.0 0.0
0.3643961169170886 0.0
0.3643961169170886 1.0
2.372208087167442 1.0
2.372208087167442 2.0
2.391607045370752 2.0
2.391607045370752 3.0
2.535390579465965 3.0
2.535390579465965 4.0
2.562467066557474 4.0
2.562467066557474 5.0
2.869731148494347 5.0
2.869731148494347 4.0
3.1345768571204 4.0
3.1345768571204 5.0
3.193206435386908 5.0
3.193206435386908 4.0
3.227215965647485 4.0
3.227215965647485 5.0
3.230823666237945 5.0
3.230823666237945 6.0
3.420454870685659 6.0
3.420454870685659 7.0
3.642077172500611 7.0
3.642077172500611 6.0
3.766468988165244 6.0
3.766468988165244 7.0
3.938549213797447 7.0
3.939401111350548 6.0
3.939401111350548 7.0
3.961170052658689 7.0
3.961170052658689 6.0
4.1261930788016 6.0
4.1261930788016 5.0
4.200602482243104 5.0
4.200602482243104 6.0
4.661368071155973 6.0
4.661368071155973 7.0
4.861368796284127 7.0
4.861368796284127 6.0
5.148571695090673 6.0
5.148571695090673 5.0
5.19845150804001 5.0
5.19845150804001 4.0
5.400387668259746 4.0
5.400387668259746 3.0
5.784058070392754 3.0
5.784058070392754 4.0
6.24256027495634 4.0
6.24256027495634 5.0
6.386497237858407 5.0
6.386497237858407 4.0
6.604633678689782 4.0
6.604633678689782 5.0
7.012902813257874 5.0
7.012902813257874 6.0
7.073941968421761 6.0
7.073941968421761 7.0
7.409524800588183 7.0
7.409524800588183 6.0
7.80799835287065 6.0
7.80799835287065 7.0
7.836877676916668 7.0
7.836877676916668 6.0
7.862413383935636 6.0
7.862413383935636 7.0
8.076585038621552 7.0
8.076585038621552 6.0
8.167753564241993 6.0
8.167753564241993 5.0
8.192216299917773 5.0
8.192216299917773 4.0
8.401082684487237 4.0
8.401082684487237 5.0
8.42698141111727 5.0
8.42698141111727 4.0
8.505505342078646 4.0
8.505621924898223 5.0
8.505621924898223 5.0
8.835658135677958 5.0
8.835658135677958 4.0
9.058779188277551 4.0
9.058779188277551 3.0
9.492007815683984 3.0
9.492007815683984 4.0
9.590840995735258 4.0
9.590840995735258 5.0
9.73794143420834 5.0
9.73794143420834 4.0
10.08260189251345 4.0
# numof(Client) #2
0.0 0.0
0.0 0.0
0.0303417564149305 0.0
0.0303417564149305 1.0
1.864977076538016 1.0
1.864977076538016 2.0
2.281626949187054 2.0
2.281626949187054 1.0
2.34227952761733 1.0
